DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/01/02 17:04:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,59.41,-999.0,-15.81388,-48.07776,13.3
2024/01/12 04:23:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,3.4,-999.0,-15.56813,-47.85601,0.8
2024/01/12 16:56:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,7,8.4,0.0,-15.97674,-47.74418,8.6
2024/01/14 04:33:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,3.09,-999.0,-15.56915,-47.85544,1.8
2024/01/16 03:57:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,0.0,-999.0,-15.56986,-47.85609,1.7
2024/01/16 04:48:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,0.0,-999.0,-15.56925,-47.85583,1.5
2024/01/17 13:12:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.02,-15.92934,-48.04072,8.3
2024/01/17 16:09:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,-999.0,-15.79095,-47.96819,3.0
2024/01/18 04:10:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,2.4,0.01,-15.57006,-47.85739,1.5
2024/01/18 04:59:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,2.48,0.01,-15.57079,-47.85617,2.2
2024/01/21 16:37:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,20.5,0.0,-15.65516,-48.09729,4.8
2024/01/01 16:09:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,6.68,-999.0,-16.0173,-48.08429,8.2
2024/01/01 16:09:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,6.66,-999.0,-16.01595,-48.08387,8.0
2024/01/07 04:16:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,43.83,-999.0,-15.56849,-47.85675,2.1
2024/01/07 05:05:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,43.98,-999.0,-15.56986,-47.8561,1.2
2024/01/07 17:15:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,6,20.21,0.0,-16.04189,-47.54642,9.9
2024/01/07 16:47:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,28.54,0.0,-15.64451,-48.20831,1.7
2024/01/17 04:01:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,1.9,0.01,-15.57039,-47.85437,1.5
2024/01/19 05:03:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,0.0,0.02,-15.57137,-47.85759,1.5
2024/01/21 04:27:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,1,12.18,0.0,-15.78801,-48.21814,1.2
2024/01/21 04:27:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,7.4,-999.0,-15.56843,-47.85602,1.1
2024/01/16 04:23:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,0.0,0.0,-15.57088,-47.85445,1.7
2024/01/14 04:57:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,3.06,0.0,-15.57241,-47.85665,1.0
